question,type,lemma,basiswoord1,basiswoord2,voorbeeld1,voorbeeld2,voorbeeld3,voorbeeld4,voorbeeld5,voorbeeld6,voorbeeld7,voorbeeld8
"Welk woord of welke woorden in deze tekst herken je als blends?",task,cockerpoe,cockerspaniël,poedel,"Nog andere rasen zijn de cockerpoe (kruising tussen cockerspaniël en een poedel) of de dollie, een kruising tussen een dalmatiër en een Schotse herdershond, deze zijn en blijven trouwens de hit in Groot-Brittannië.","Een nieuwtje in hondenfokland: de designerdog, wat we kunnen vertalen als: de modehond. Dat is simpelweg een kruising van twee verschillende rashonden, bijvoorbeeld de labrapoedel, een kruising tussen een poedel en een labrador. Zo krijg je dus een superhond: het vriendelijke van een poedel met het intelligente van een labrador [...]. Maar dierenexperts waarschuwen voor de gevolgen. Volgens het dierenmagazine Dogs Today heeft een kruising tussen een pekinees en een mopshond geleid tot een catastrofaal resultaat: de hond had een volledig misvormde kop met uitpuilende ogen. Maar de fokkers van de modehonden vinden dit fel overdreven en fokken verder. De cockerpoe (kruising tussen cocker spaniel en een poedel) of de dollie, een kruising tussen een dalmatiër en een Schotse herdershond, zijn en blijven hot in Groot-Brittannië.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,cronut,croissant,donut,"Lekker een cronut! Een croissant op zondagochtend bij de koffie, een donut 's middags bij de thee, en dan 's avonds een cronut. Een wat?! Een combinatie van een croissant en donut die bij een bakker in Manhattan (letterlijk) als warme broodjes over de toonbank vliegen.","Het gebak wordt elke dag vers gemaakt en Ansel streeft naar een goede kwaliteit. Dat is volgens hem dan ook de reden dat er niet meer cronuts op een dag worden gemaakt. De razend populaire lekkernij bestaat uit dunne lagen gefrituurd croissant deeg, die door rozensuiker gehaald worden. De lagen worden gevuld met vanille crème uit Tahiti. De bovenste laag van het gebakje in de vorm van een donut krijgt een laagje roze glazuur.","Vanochtend plaatste Albert Heijn een bijzonder bericht op hun Facebook-pagina: ""Dit broodje is een kruising tussen twee populaire lekkernijen en een grote hit in Amerika. Vanaf nu ook verkrijgbaar bij Albert Heijn. Weet jij de naam van dit broodje?"" Nou, drie keer raden… de cronut, natuurlijk! Waar de cronut exact te koop is, wat hij kost en – belangrijker nog – hoe hij smaakt, weten we nog niet.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,DigiD,digitale,identiteit,"Van wie is DigiD? In 2003 is een aantal grote uitvoeringsorganisaties (Belastingdienst, CWI, UWV, IB-Groep en SVB) met DigiD gestart. Begin 2006 is DigiD overgedragen aan de gemeenschappelijke beheerorganisatie GBO.Overheid. GBO.Overheid is onderdeel van het ministerie van Binnenlandse Zaken en Koninkrijksrelaties en zorgt in samenwerking met de Belastingdienst voor het beschikbaar maken van DigiD aan het brede publiek.","Het is duidelijk: de Belastingdienst wil belastingbetalers inwrijven dat er er geen ontsnappen aan is. We moeten allemaal aan de DigiD, de elektronische handtekening. Met een persoonlijke code en wachtwoord, vergelijkbaar met de pincode van de bankpas, moet elke belastingbetaler zijn aangifte ondertekenen.","Als u hulp krijgt bij het doen van aangifte van ons of van een vak- of ouderenbond, dan hebt u geen DigiD nodig. Deze partijen beschikken over een aangifteprogramma dat u kunt ondertekenen met uw elektronische handtekening.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,drentenier,Drenthe,rentenier,"Onder een nieuwe bezielende leiding van Cees Hartland, die het stokje over heeft genomen van de drentenier John Brinkkemper, is het veteranen toernooi weer gehouden bij KZTV met het traditionele mooie weer en de als altijd fantastische sfeer.","Drentenieren', waarbij gepensioneerden rust en ruimte zoeken in Drenthe, blijkt vooral een regionaal verschijnsel. 'Drenteniers' komen uit de stad Groningen en nauwelijks uit de Randstad. Het streven van de drie noordelijke provincie om rijke senioren te trekken lijkt niet kansrijk. Friesland, Groningen en Drenthe willen het Noorden uitbouwen tot 'landsdeel' met de zorg voor ouderen als economische motor. Daarbij zou de 'immigratie' van welgestelde pensionado’s naar Drenthe als voorbeeld dienen.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,emoticon,emotion,icon,"Dan zie je dat het eerste emoticon een glimlachend gezichtje is, het tweede een sip kijkend.","Nadat hij al minstens een uur lang zijn donder heeft laten rommelen, met een paar flinke klappen hier en daar en een bliksem op zijn tijd, ontploft Wodan Waterzooij bij Davids zoveelste poging zijn bewegingen te beperken tot het emoticon van een opgetrokken wenkbrauw om de tekst voor zichzelf te laten spreken.","Dus loggen we alledrie in op IRC, waar de twee beloven te zullen wachten in het speciaal aangemaakte kanaal #demorgeninterview. De periode dat ik nachtenlang heb zitten chatten, ligt al een tijdje achter mij, dus ik vraag hen ""ff geduld"" te hebben, want ""kheb al heel lang nie meer gechat"". Vinden ze geen probleem. ""Da went weer snel."" Het wordt een grappig gesprek met veel emoticons, typische chat-afkortingen en om de andere zin een Engelstalige uitspraak.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,fembot,female,robot,"De komst van de fembot is volgens de journaliste een evolutie van het feminisme. De inkomens tussen mannen en vrouwen zijn gelijker geworden, vrouwen krijgen kinderen zonder man en hebben seks zonder gevoelens. De nieuwe vrouw zou zonder problemen elk weekend met een ander het bed kunnen delen, zonder verliefd te worden. Ze wisselt niet alleen van man, uit onderzoek blijkt dat de meeste fembots tegen hun dertigste al zeven verschillende werkgevers hebben versleten.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,festivaluta,festival,valuta,"Op de meeste festivals betalen mensen met speciale muntjes. Steeds vaker duikt het woord 'festivaluta' op, omdat bovengenoemde muntjes vooral op festivals opduiken.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,flexitariër,flexibel,vegetariër,"Ongeveer 90% van de Belgen heeft een positieve, genuanceerde houding tegenover vlees. Zij eten vaak vlees, maar daarom niet dagelijks. Zij mogen zich flexivoor noemen. 9% van de Belgen is daarentegen flexitariër. Zij kiezen minder voor vlees en zijn van oordeel dat vlees eten minder gezond en duurzaam is. Toch eten zij nog af en toe vlees, bijvoorbeeld uit praktische overwegingen of omwille van de voedingswaarden.","Flexitariërs zijn de nieuwe trend in Amerika. Net als vegetariërs eten flexitariërs vooral plantaardig voedsel zoals granen, groenten en fruit. Maar daarnaast gaat een stukje gevogelte, vis of mager vlees er af en toe ook wel in.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,glamperen,glamour/glamorous,kamperen,"Het is een nieuwe trend: glamperen, ofwel kamperen in luxe. In zekere zin is het helemaal geen kamperen. De tenten zijn canvas appartementen met comfortabele bedden, stromend water en een keuken. Al is de kans groot dat je die keuken niet zult gebruiken, omdat er op de meeste glampeerterreinen wel een goed restaurant is.","Campings in Nederland worden steeds luxer. Er wordt dan ook gesproken van 'glamperen', een woordcombinatie bestaande uit glamour en kamperen. Fervente hotelgasten zouden massaal overstappen naar de 'blingblingcamping'.","Vakantietrends 2010: kramperen wordt glamperen [...]. Glamping: kamperen zonder alle ongemakken. Wie zit er te wachten op bijtende insecten, modderige kampeerplekken of vieze toiletgebouwen? Vergeet het kamperen en ga glamperen. Slaap in een luxe safaritent: volledig voorzien van bad (op gouden pootjes), eigen toilet, airco en goede bedden. Bovenin je luxe tent bungelt een kroonluchter of een trendy lampion. En ‘s avonds lees je een boek bij de houtkachel.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,glamping,glamour/glamorous,camping,"Het begrip glamping rolt op enig moment over de tafel. Glamping, dat is glamour en kamperen ineen.","Het nieuwe kamperen heet 'glamping'. Tenten met climate-control, een kingsize-bed, afstandsbediening voor het licht en massageservice. Het fenomeen bestond al, maar gaat nu ook in Europa ontdekt worden. Bij Glamping, oftewel glamorous camping moet je niet denken aan lekkende tenten en toiletrollen onder je arm. Glamping is een zeer luxe vorm van kamperen.","Kamperen onder het genot van nog meer luxe en comfort is dé nieuwe trend. Deze unieke vorm van kamperen wordt ook wel 'glamping' (een samenvoeging van glamorous en camping) genoemd.","Bent u ook tijdens uw vakantie op zoek naar comfort en luxe? Glamping is dé nieuwe trend op de kampeermarkt. Waar vakantiegangers vroeger op stap gingen met een eigen tent, caravan of vouwwagen wordt er steeds vaker gekozen voor een tent of stacaravan die voor u volledig ingericht al klaar staat [...]. Het niveau van comfort en luxe in deze vaste kampeeraccommodaties is naar een nieuw niveau gebracht, vooral in de 'glamping' accommodaties.",,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,grachtengordeldier,grachtengordel,gordeldier,"Peter: ""Hallo, wij zijn Peter en Justine en wij wonen met Julius van zes, Katinka van drie en Bas van anderhalf in één van De Negen Straatjes en we zijn erg blij dat de grachtengordel door de Unesco is uitgeroepen tot werelderfgoed.""\nJustine: ""Ja, maar wij zijn geen grachtengordeldieren hoor. Helemaal niet. We hebben GroenLinks gestemd. Op Femke. We hebben zelf eigenlijk ook een hekel aan die grachtengordel.""","In theorie kan men wel een aantal kwesties verzinnen waarover de VVD het eerder eens zou kunnen worden met links dan met het CDA: euthanasie, abortus, gelijke behandeling, openbaar onderwijs, het omroepbestel [...]. Het is trouwens zeer de vraag of het VVD-electoraat op deze punten wel zo liberaal is als de grachtengordeldieren en Oud-Zuid-liberalen van de VVD-Amsterdam wellicht denken.","Relatief vaak zijn op weblogs grappig bedoelde samentrekkingen (zoals grachtengordeldier, uit grachtengordel en gordeldier) of schertsende verhaspelingen (zoals multicultirariteit, uit multiculturaliteit en rariteit) te vinden.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,grexit,Greece/Greek,exit,"De voorbije twee jaar heeft iedereen die iemand is in Europa, bezworen dat een exit van Griekenland uit de eurozone niet tot de mogelijkheden behoorde. Vandaag bestaat er een woord voor dat mogelijk vertrek: Grexit. Er staat voorlopig nog een vraagteken achter, maar het is wel een piste geworden waarover ook hardop nagedacht wordt [...]. Het feit dat er nu wel over gesproken wordt, ook op de hoogste niveaus van de Europese besluitvorming, betekent niet dat een Griekse exit minder beangstigend geworden is. Er is de schrik voor een domino-effect, waarbij speculanten meteen het volgende zwarte schaap in de eurozone aanvallen.","Of het zover zal komen is nog afwachten, maar er bestaat al wel een woord voor het scenario waarbij Griekenland uit de eurozone stapt: Grexit, een verkorting van Greek exit of Griekse exit.","De euro moest Europa verenigen, maar is vooral bezig Europa te splijten [...]. Het meest hopeloze geval vormt Griekenland [...]. Brussel verlangt van Athene, teneinde een 'Grexit' te voorkomen, twee dingen: dat het de uitgaven fors vermindert en de inkomsten fors vermeerdert. Geen van beide zal gebeuren, omdat dat maatschappelijk onmogelijk is.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,groufie,group,selfie,"De grootste blikvanger van de Ascend P7 is echter de camera aan de voorkant, die met 8 megapixels de ongekroonde koning van de selfies is. Zelfportretten zijn niet alleen haarscherp, je krijgt er ook een paar unieke extra’s bij, zoals een panoramafunctie voor – jawel – groufies (een selfie van een groep personen) en ingebakken fotobewerkingstools om jezelf op nogal artificiële wijze 'mooier' te maken.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,himbo,him,bimbo,"Wij lijken een onbedwinbare behoefte te hebben mannen in hokjes te plaatsen. Zo heet het nieuwste soort man: de himbo. Deze mannelijke 'babe' is alleen maar bezig met zijn uiterlijk en aantrekkelijkheid. Hij volgt ondermeer de metro- en de gastroseksueel op. Het lijken me allemaal bijzonder vermoeiende types.","De naam 'himbo' werd in Amerika uitgevonden waar ze worden vergeleken met vrouwelijke 'bimbo's' en babes als Pamela Anderson, Paris Hilton en Kate Perry. Net als deze dames, wandelen himbo's nooit de deur uit zonder aan hun looks te werken. De mannelijke 'babe' spiegelt zich aan rolmodellen als David Beckham, Brad Pitt en Matthew McConaughey.","Zijn uiterlijk is enorm belangrijk. Hij zal liever twee uur in de fitness doorbrengen als jou te helpen bij het verhuizen. Probeer een himbo dus niet om te toveren tot een huiselijk type, want dat mislukt gegarandeerd schromelijk.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,infobesitas,informatie,obesitas,"Geen zwaarlijvigheid, obesitas, maar informatieovervloed, infobesitas. Het is de nieuwe ziekte. Ook dé nieuwe trend, vooral onder jongeren. Met als klacht: vermoeidheid, slaaptekort, concentratieproblemen. Met als verrassende diagnose: de angst om iets te missen en er niet bij te horen.","Volgens Youngworks is het de (jongeren)trend van 2010: infobesitas – de angst om informatie mis te lopen. Het web biedt anno 2010 een overload aan informatie, wat in veel gevallen resulteert in een ongezonde honger naar informatie. De F5-toets is verworden tot het statussymbool van de moderne informatiejunk.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,infotainment,informatie/informatief,entertainment,"Het museum is immers niet langer meer een stoffige stapelplaats van de beeldende canon of het geheugen van een gemeenschap, het wordt, net als het shoppingcenter, een uitgelezen plek voor infotainment, edutainment, shoppertainment en eatertainment (zoals dat in Amerika heet).","Marijke Schaaphok, directeur amusement en infotainment van Joop van de Ende TV Producties is enthousiast over het plan.","Wat vroeger informatie was, wordt nu bij voorkeur verpakt in infotainment.","De VVD prolongeert het beproefde campagnerecept gebaseerd op infotainment: een mengeling van informatie en vermaak die direct is ontleend aan de amusementsfabriek uit Aalsmeer.",,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,jegging,jeans,legging,"Deze jegging voor dames heeft een elastische tailleband, een sier ritssluiting, decoratieve steekzakken en 2 zakken aan de achterkant.","De jegging met typische spannende pasvorm, hoge taillehoogte en slim legs heeft een comfortabele elastiekband. Aangeduide zakken vooraan, aangeduide rits en achterzakken geven haar een authentieke denim-look. Riemsleuven maken de jeans-optiek compleet. De elastische mengeling van jeans en legging komt in donkerblauw zonder washing - een absolute trend-stijl!","Voor diegenen onder jullie die het fenomeen 'jegging' nog niet kennen: na de tregging (trousers + legging = als broek draagbare legging) hebben we nu de jegging: een combinatie van jeans & legging. Oftewel een spijkerbroek zó stretchy dat hij als een strakke panty om je benen zit.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,keytar,keyboard,gitaar,"Jazzster Herbie Hancock zag er zaterdag ultracool uit terwijl hij opgewekt freaky solo's uit zijn keytar toverde. Toch kleefde er iets camp-achtigs aan de manier waarop de toetsenist zijn omhangkeyboard ter hand nam.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,laagflatie,laag,inflatie,"Laagflatie. Het begrip 'lowflation' werd in maart 2014 de wereld in geholpen door IMF-econoom Reza Moghadam. Het begrip doelt op een langdurige periode van ultra-lage, soms marginaal toenemende inflatie.","In een vooruitblik zegt het IMF deze week dat de centrale banken steeds moeilijker kunnen reageren op economische tegenwind. Wat is het antwoord van de monetaire autoriteiten op de alsmaar dalende inflatie, laagflatie, stagflatie en een dreigende deflatie?","Langzaam sluipen we naar lagere inflatie, maar nog geen crisis want nog geen deflatie. Wel laagflatie, in tegenstelling tot hoogflatie en deflatie het minst gunstig voor goud.","Maak kennis met 'laagflatie' - de nieuwe draak die ECB-baas Maro Draghi te lijf moet [...]. Is het inflatie? Is het deflatie? Nee, het is laagflatie. In dit woord (lowflation) dat vorige maand de wereld in werd geworpen door IMF-econoom Reza Moghadam, ligt het enorme dilemma besloten waar de Europese Centrale Bank morgen in haar bestuursvergadering voor staat [...]. Belangrijk is [...] dat waar inflatie de last van de schuld uitholt, deflatie de schuldenlast juist zwaarder maakt.",,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,labradoedel,labrador,poedel,"Nadat de Labradoedel veelvuldig in het nieuws kwam en een hype werd, gold dat later ook voor de Goldendoedel. Er wordt gezegd, dat de Goldendoedel, net als de Labradoedel, een zeer geschikte hond is voor mensen die allergisch of astmatisch zijn, maar pas op, want hier moet een goed fokprogramma aan ten grondslag liggen en zoals het vaak gaat met honden die populair worden, zal dit niet bij elke fokker het geval zijn.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,lijger,leeuw,tijger,"De verzorgers in de Chinese dierentuinen hebben er een hobby bij, het kweken van lijgers. In de zoo van Hainan hebben ze zo al dertien kruisingen, van een leeuw met een tijger, rondlopen.","Reeds in het begin van de 19de eeuw worden lijgers gerapporteerd, hetzij door mensen gekruist, hetzij toevallig in gevangenschap. Het gaat meestal dan om kruisingen van de Aziatische leeuw met de Bengaalse tijger. Zowel in Azië als in Zuid-Afrika werd hun bestaan – in gevangenschap – gemeld.","De Lijger is een kruising tussen de leeuw en de tijger. Hij is 3 meter groot en groeit nog \nsteeds. Hij lijkt wel een prehistorisch dier of een creatie van Hollywood. Maar niets is minder \nwaar. Hij is levend en wel en laat dit ook regelmatig horen met een diepe brul uit zijn \ngigantische mond. De lijger is de grootste katachtige ter wereld. Op een normale dag eet hij 8 \nkg vlees, meestal runds of kip. Maar hij kan gemakkelijk 45 kg in een keer opeten. Hij is maar \n3 jaar oud, maar weegt wel een halve ton. Als hij uitgegroeid is, zal hij waarschijnlijk groter \nzijn dan 3,5 meter en meer dan 900 kg wegen.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,manny,man/male,nanny,"Wat doen we; een nanny of een manny? Wij hebben een jongen en een meisje als oppas. Onze zoon Wout vindt de oppas Tijmen het leukst, dochter Floor is weer meer gecharmeerd van Imke. Soort zoekt dus overduidelijk soort. Oppassen wordt voor steeds meer jongens een lucratief bijbaantje.","Als je in wil zijn, neem dan voor je kinderen geen nanny maar een manny. Celebrities als Angelina Jolie, Britney Spears en Victoria Beckham huurden al een mannelijke oppas in om voor hun kroost te zorgen.","Het duurt even voor dat deze Peter het vertrouwen van Dylan wint, maar binnen korte tijd heeft de manny zijn plek veroverd in de harten van Jamie en haar gezin.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,medicomaat,medicijn/medicijnen,automaat,"De Medicomaat is een geavanceerde uitgifterobot, waardoor cliënten 24 uur per dag, 7 dagen per week hun medicijnen op kunnen halen, zonder tussenkomst van medewerkers van de apotheek. Dat maakt de Medicomaat een ultiem service-instrument van de Apotheek van de Toekomst. En u creëert een extra uitgiftepunt bij uw apotheek of op een andere locatie! De Medicomaat is leverbaar voor 190 en 360 doosjes.","Na geld en snacks worden ook de medicijnen uit de muur getrokken. In IJsseldelta worden steeds meer medicomaten bij apotheken geplaatst; een pinautomaat waarbij patiënten de medicijnen 24 uur per dag uit de muur trekken.","In de medicomaat gaan niet alle medicijnen. Zo kunnen geen koelkastartikelen en breekbare producten worden verstrekt en ook grote pakken zoals incontinentiemateriaal worden niet via de medicomaat geleverd.","Wanneer je je medicijnen hebt besteld, kun je ze via de medicomaat ophalen. Wanneer je een medicijn voor het eerst krijgt, moet je deze echter gewoon ophalen aan de balie.",,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,megging,man,legging,"Ik ben heel benieuwd, wanneer de megging echt gaat doorbreken. Geeft toch weer een toevoeging aan de t.o.v. de damesmode beperkte variatie in de herenmode.","De legging behoort niet langer alleen tot het vrouwelijke domein. De eerste mannenleggings, 'meggings', zijn reeds gesignaleerd. Trend. Volgens de Belgische krant Het Laatste Nieuws gaan de meggings een trend worden, en niet alleen onder balletdansers en extravagante rocksterren [...]. Vijf jaar geleden introduceerde ontwerper Hedi Slimane (Dior Homme) de voorloper van de \n'megging': de skinny jeans voor mannen. Hoewel velen er maar langzaam aan konden \nwennen, kleuren modebewuste jongens inmiddels zeer geregeld het straatbeeld met de \nnauwsluitende broeken.","De megging …. wat moet ik daar nou toch van vinden … ik geloof niet dat ik serieus met een man kan praten als hij zijn mannenlegging aan heeft! Ik zou constant naar zijn knokige knieen kijken en in een deuk liggen volgens mij, sorry hoor!! Ik zal wel ouderwets zijn!",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,mipster,moslim/moslima,hipster,"Wereldwijd veroveren mipsters al een tijdje het straatbeeld en sociale media kanalen, en stilaan duiken ook steeds meer hippe en modebewuste moslima's in ons land op. Het zijn doorgaans jonge meisjes die van mode, kunst en creativiteit houden maar ook volgens de islamitische tradities leven. Dat uit zich in een hip stijltje, waarin bescheidenheid wel blijft primeren. Geen diepe decolletés dus, maar een hoofddoek die kunstig geknoopt is, leuke sneakers en felle lippenstift.","Het dragen van een hoofddoek kan dus nogal wat stof doen opwaaien. Maar mipsters houden vol, zij laten zien dat het wel cool kan zijn. Het is toch niet raar dat Sarah Dimani zoveel volgers en fans heeft?","Ze zijn jong, stijlvol en ze dragen een hoofddoek. Maak kennis met de Mipsterz: een groep vrouwen die het stereotype willen doorbreken van de hoofddoek als symbool van onderdrukking. ""Een Mipster is iemand die helemaal mee is op het vlak van muziek, mode, kunst, kritisch denken, eten, verbeelding en creativiteit"", zo stellen de vrouwen zich voor op hun officiële Facebookpagina Mipsterz - Muslim Hipsters. ""Een Mipster heeft daarnaast een sociale geest en verlangt naar meer rechtvaardigheid en een gemeenschap die niet wordt begrensd door vaste groepen.""",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,mobisode,mobiele,episode,"Tijdens een Amerikaanse conventie van strip- en televisieliefhebbers lieten de makers een glimp zien van het concept voor die mobisodes: ze tonen een videocamera die wordt gevonden door het personage Hurley en die daarmee de eilandbewoners begint te filmen.",,,,,,,
